"Appendix 1. Gorzelak et al. 2024. Geochemical signatures and nanomechanical properties of echinoid tests from nearshore habitats of Florida: Environmental and physiological controls on echinoid biomineralization. PeerJ. Last updated October 24, 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,decimal latitutde,decimal longitude,meters,year AD,month-numerical,day-numerical,per mile,per mile,per mile,per mile,per mile,per mile,decimal latitude,decimal longitude,degree C,degree C,degree C,degree C,degree C,cm,mmol/mol,umol/mol,mmol/mol,mmol/mol,mmol/mol,umol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol
species,SpecID,Region,Station,Basin,Latitude,Longitude,Depth,Year,Month,Day,sal_mean,sal_med,sal_q25,sal_q75,sal_min,sal_max,noaa.lat,noaa.long,winter,spring,summer,fall,meanT,size,Cu,Pb,Zn,Mn,Sr,Cd,P,Mg,Ba,B,Na,S,Li
Mellita tenuis,CK-6-2,Cedar Key,CK-6,Gulf of Mexico,29.065571,-83.065571,0.9,2022,9,22,28.27878788,28.65,26.225,30.6,16.3,37.7,28.75,-83.25,18.4,27.761,28.81,21.01,23.99525,8.74,0.0006,0.0366,0.0046,0.0296,2.2619,0.1061,0.14,110.584737,0.017,0.3007,39.7875,7.4358,0.0515
Mellita tenuis,CK-6-3,Cedar Key,CK-6,Gulf of Mexico,29.065571,-83.065571,0.9,2022,9,22,28.27878788,28.65,26.225,30.6,16.3,37.7,28.75,-83.25,18.4,27.761,28.81,21.01,23.99525,10.4,0.0033,0.0492,0.0064,0.0289,2.1127,0.1009,0.1098,110.5526974,0.0148,0.4405,53.7044,8.1323,0.0506
Clypeaster subdepressus,CB-4-1,Northern Gulf,CB-4,Gulf of Mexico,29.8042,-84.4941,7,2024,2,16,31.30769231,31,30.7,31.4,29,34,29.75,-84.65,18.187,23.446,30.438,23.71,23.94525,NA,0.0005,0.0311,0.003,0.8624,2.3623,0.1031,0.5404,131.3659999,0.0125,0.4763,30.4083,11.2423,0.0612
Clypeaster subdepressus,CB-4-2,Northern Gulf,CB-4,Gulf of Mexico,29.8042,-84.4941,7,2024,2,16,31.30769231,31,30.7,31.4,29,34,29.75,-84.65,18.187,23.446,30.438,23.71,23.94525,NA,0.0007,0.0303,0.0067,0.3081,2.5475,0.0669,0.081,122.794977,0.0075,0.4292,30.5459,10.1681,0.0632
Leodia sexiesperforata,CB-4-3,Northern Gulf,CB-4,Gulf of Mexico,29.8042,-84.4941,7,2024,2,16,31.30769231,31,30.7,31.4,29,34,29.75,-84.65,18.187,23.446,30.438,23.71,23.94525,NA,0.0012,0.0504,0.0104,0.1234,2.3615,0.058,0.0421,146.4908511,0.0053,0.5308,28.2513,10.9819,0.0601
Mellita tenuis,CB-5-N-001,Northern Gulf,CB-5,Gulf of Mexico,29.81896,-84.47579,7.3,2024,2,16,31.30769231,31,30.7,31.4,29,34,29.75,-84.65,18.187,23.446,30.438,23.71,23.94525,NA,0.0007,0.0631,0.0047,0.045,2.4357,0.0388,0.0469,122.6104568,0.0047,0.5379,30.4777,10.4272,0.067
Encope michelini,FK-9-6-N-002,Florida Keys,FK-9,Atlantic,24.74689,-80.79453,8.2,2020,8,28,33.195,36.1375,35.8,36.3,0.395,36.84,24.65,-80.75,23.823,27.126,30.323,26.012,26.821,NA,0.0009,0.0438,0.0052,0.0331,2.421,0.0231,0.0837,128.07465,0.0036,0.5279,30.5782,10.9214,0.0617
Leodia sexiesperforata,CB-4-N-003,Northern Gulf,CB-4,Gulf of Mexico,29.8042,-84.4941,7,2024,2,16,31.30769231,31,30.7,31.4,29,34,29.75,-84.65,18.187,23.446,30.438,23.71,23.94525,8.71,0.0017,0.1013,0.0062,0.129,2.422,0.07,0.1695,146.862287,0.0053,0.5705,27.7991,10.6409,0.0662
Clypeaster subdepressus,FK-5-1-N-004,Florida Keys,FK-5,Atlantic,24.74398,-80.79883,8.5,2020,8,27,33.195,36.1375,35.8,36.3,0.395,36.84,24.65,-80.75,23.823,27.126,30.323,26.012,26.821,10.2,0.0008,0.0986,0.0039,0.0302,2.7628,0.0568,0.1237,124.0136469,0.0054,0.4135,33.5549,11.551,0.0644
Leodia sexiesperforata,CB-4-N-005,Northern Gulf,CB-4,Gulf of Mexico,29.8042,-84.4941,7,2024,2,16,31.30769231,31,30.7,31.4,29,34,29.75,-84.65,18.187,23.446,30.438,23.71,23.94525,9.36,0.0019,0.0366,0.005,0.0921,2.4394,0.045,0.0817,147.8235347,0.0055,0.5851,28.2846,10.6525,0.0638
Clypeaster subdepressus,AP-19-44-N-006,Northern Gulf,AP-19,Gulf of Mexico,29.73817002,-84.24150403,14,2020,9,11,31.30769231,31,30.7,31.4,29,34,29.45,-84.15,18.187,23.033,30.85,23.46,23.8825,7.76,0.0004,0.2855,0.0045,0.1933,2.4989,0.1196,0.217,123.9071757,0.0086,0.5099,33.0998,11.3208,0.062
Leodia sexiesperforata,CB-4-N-007,Northern Gulf,CB-4,Gulf of Mexico,29.8042,-84.4941,7,2024,2,16,31.30769231,31,30.7,31.4,29,34,29.75,-84.65,18.187,23.446,30.438,23.71,23.94525,9.26,0.0006,0.0377,0.0038,0.1327,2.3862,0.0347,0.0841,139.2884636,0.0055,0.6142,30.9806,10.1519,0.0638
Leodia sexiesperforata,CB-4-N-008,Northern Gulf,CB-4,Gulf of Mexico,29.8042,-84.4941,7,2024,2,16,31.30769231,31,30.7,31.4,29,34,29.75,-84.65,18.187,23.446,30.438,23.71,23.94525,9.21,0.0007,0.0307,0.0031,0.1437,2.3865,0.0453,0.1233,143.0461981,0.0057,0.6008,28.6395,10.3265,0.0624
Encope michelini,ST-1-3-N-009,Northern Gulf,ST-1,Gulf of Mexico,29.50526,-83.67229,11.3,2020,8,12,34.495,34.495,34.494,34.496,34.494,34.496,29.45,-83.85,18.187,24.222,29.675,21.867,23.48775,14.5,0.0005,0.0722,0.0031,0.211,2.2355,0.0554,0.161,116.940322,0.0115,0.5074,29.0098,10.4968,0.0629
Encope michelini,ST-1-3-N-010,Northern Gulf,ST-1,Gulf of Mexico,29.50526,-83.67229,11.3,2020,8,12,34.495,34.495,34.494,34.496,34.494,34.496,29.45,-83.85,18.187,24.222,29.675,21.867,23.48775,12.05,0.0005,0.0654,0.0072,0.1077,2.2756,0.0329,0.2388,120.7175473,0.0072,0.5131,27.4016,10.3806,0.0622
Mellita tenuis,AP-17-9-N-011,Northern Gulf,AP-17,Gulf of Mexico,29.83326,-84.52757,7.6,2020,9,10,31.30769231,31,30.7,31.4,29,34,29.75,-84.65,18.187,23.446,30.438,23.71,23.94525,NA,0.0005,0.0429,0.0031,0.1155,2.3091,0.0452,0.2049,129.4940968,0.0054,0.5635,32.8455,11.0821,0.0567
Mellita tenuis,AP-17-13-N-012,Northern Gulf,AP-17,Gulf of Mexico,29.83326,-84.52757,7.6,2020,9,10,31.30769231,31,30.7,31.4,29,34,29.75,-84.65,18.187,23.446,30.438,23.71,23.94525,NA,0.0006,0.0485,0.0067,0.0915,2.4257,0.0112,0.3245,120.4413607,0.006,0.43,28.7999,9.7954,0.0561
Mellita tenuis,CK-2-1-N-013,Cedar Key,CK-2,Gulf of Mexico,28.99317,-83.13709,7.6,2020,9,12,28.27878788,28.65,26.225,30.6,16.3,37.7,28.75,-83.25,18.4,27.761,28.81,23.178,24.53725,13.44,0.0006,0.0558,0.0071,0.0794,2.424,0.0114,0.6217,117.7829371,0.0057,0.4512,29.3155,10.0088,0.0573
Clypeaster subdepressus,CK-2-6-N-014,Cedar Key,CK-2,Gulf of Mexico,28.99317,-83.13709,7.6,2020,9,12,28.27878788,28.65,26.225,30.6,16.3,37.7,28.75,-83.25,18.4,27.761,28.81,23.178,24.53725,14.61,0.0005,0.0247,0.0043,0.442,2.4395,0.0568,0.0825,118.8345704,0.008,0.331,32.0753,10.3627,0.0589
